question	answer	set
1 x 1	1	multiplication_10x
1 x 2	2	multiplication_10x
1 x 3	3	multiplication_10x
1 x 4	4	multiplication_10x
1 x 5	5	multiplication_10x
1 x 6	6	multiplication_10x
1 x 7	7	multiplication_10x
1 x 8	8	multiplication_10x
1 x 9	9	multiplication_10x
1 x 10	10	multiplication_10x
2 x 1	2	multiplication_10x
2 x 2	4	multiplication_10x
2 x 3	6	multiplication_10x
2 x 4	8	multiplication_10x
2 x 5	10	multiplication_10x
2 x 6	12	multiplication_10x
2 x 7	14	multiplication_10x
2 x 8	16	multiplication_10x
2 x 9	18	multiplication_10x
2 x 10	20	multiplication_10x
3 x 1	3	multiplication_10x
3 x 2	6	multiplication_10x
3 x 3	9	multiplication_10x
3 x 4	12	multiplication_10x
3 x 5	15	multiplication_10x
3 x 6	18	multiplication_10x
3 x 7	21	multiplication_10x
3 x 8	24	multiplication_10x
3 x 9	27	multiplication_10x
3 x 10	30	multiplication_10x
4 x 1	4	multiplication_10x
4 x 2	8	multiplication_10x
4 x 3	12	multiplication_10x
4 x 4	16	multiplication_10x
4 x 5	20	multiplication_10x
4 x 6	24	multiplication_10x
4 x 7	28	multiplication_10x
4 x 8	32	multiplication_10x
4 x 9	36	multiplication_10x
4 x 10	40	multiplication_10x
5 x 1	5	multiplication_10x
5 x 2	10	multiplication_10x
5 x 3	15	multiplication_10x
5 x 4	20	multiplication_10x
5 x 5	25	multiplication_10x
5 x 6	30	multiplication_10x
5 x 7	35	multiplication_10x
5 x 8	40	multiplication_10x
5 x 9	45	multiplication_10x
5 x 10	50	multiplication_10x
6 x 1	6	multiplication_10x
6 x 2	12	multiplication_10x
6 x 3	18	multiplication_10x
6 x 4	24	multiplication_10x
6 x 5	30	multiplication_10x
6 x 6	36	multiplication_10x
6 x 7	42	multiplication_10x
6 x 8	48	multiplication_10x
6 x 9	54	multiplication_10x
6 x 10	60	multiplication_10x
7 x 1	7	multiplication_10x
7 x 2	14	multiplication_10x
7 x 3	21	multiplication_10x
7 x 4	28	multiplication_10x
7 x 5	35	multiplication_10x
7 x 6	42	multiplication_10x
7 x 7	49	multiplication_10x
7 x 8	56	multiplication_10x
7 x 9	63	multiplication_10x
7 x 10	70	multiplication_10x
8 x 1	8	multiplication_10x
8 x 2	16	multiplication_10x
8 x 3	24	multiplication_10x
8 x 4	32	multiplication_10x
8 x 5	40	multiplication_10x
8 x 6	48	multiplication_10x
8 x 7	56	multiplication_10x
8 x 8	64	multiplication_10x
8 x 9	72	multiplication_10x
8 x 10	80	multiplication_10x
9 x 1	9	multiplication_10x
9 x 2	18	multiplication_10x
9 x 3	27	multiplication_10x
9 x 4	36	multiplication_10x
9 x 5	45	multiplication_10x
9 x 6	54	multiplication_10x
9 x 7	63	multiplication_10x
9 x 8	72	multiplication_10x
9 x 9	81	multiplication_10x
9 x 10	90	multiplication_10x
10 x 1	10	multiplication_10x
10 x 2	20	multiplication_10x
10 x 3	30	multiplication_10x
10 x 4	40	multiplication_10x
10 x 5	50	multiplication_10x
10 x 6	60	multiplication_10x
10 x 7	70	multiplication_10x
10 x 8	80	multiplication_10x
10 x 9	90	multiplication_10x
10 x 10	100	multiplication_10x
2*1	2	multiplication_20x
2*2	4	multiplication_20x
2*3	6	multiplication_20x
2*4	8	multiplication_20x
2*5	10	multiplication_20x
2*6	12	multiplication_20x
2*7	14	multiplication_20x
2*8	16	multiplication_20x
2*9	18	multiplication_20x
2*10	20	multiplication_20x
2*11	22	multiplication_20x
2*12	24	multiplication_20x
2*13	26	multiplication_20x
2*14	28	multiplication_20x
2*15	30	multiplication_20x
2*16	32	multiplication_20x
2*17	34	multiplication_20x
2*18	36	multiplication_20x
2*19	38	multiplication_20x
2*20	40	multiplication_20x
3*1	3	multiplication_20x
3*2	6	multiplication_20x
3*3	9	multiplication_20x
3*4	12	multiplication_20x
3*5	15	multiplication_20x
3*6	18	multiplication_20x
3*7	21	multiplication_20x
3*8	24	multiplication_20x
3*9	27	multiplication_20x
3*10	30	multiplication_20x
3*11	33	multiplication_20x
3*12	36	multiplication_20x
3*13	39	multiplication_20x
3*14	42	multiplication_20x
3*15	45	multiplication_20x
3*16	48	multiplication_20x
3*17	51	multiplication_20x
3*18	54	multiplication_20x
3*19	57	multiplication_20x
3*20	60	multiplication_20x
4*1	4	multiplication_20x
4*2	8	multiplication_20x
4*3	12	multiplication_20x
4*4	16	multiplication_20x
4*5	20	multiplication_20x
4*6	24	multiplication_20x
4*7	28	multiplication_20x
4*8	32	multiplication_20x
4*9	36	multiplication_20x
4*10	40	multiplication_20x
4*11	44	multiplication_20x
4*12	48	multiplication_20x
4*13	52	multiplication_20x
4*14	56	multiplication_20x
4*15	60	multiplication_20x
4*16	64	multiplication_20x
4*17	68	multiplication_20x
4*18	72	multiplication_20x
4*19	76	multiplication_20x
4*20	80	multiplication_20x
5*1	5	multiplication_20x
5*2	10	multiplication_20x
5*3	15	multiplication_20x
5*4	20	multiplication_20x
5*5	25	multiplication_20x
5*6	30	multiplication_20x
5*7	35	multiplication_20x
5*8	40	multiplication_20x
